問合せNO,顧客NO,NO,表示順,確認手配事項,確認手配分類,受付日,受付営業所,受付担当,確認状況,確認手配事項内容,後方メモ
67368244,1041453323,1,,各地発着申込,AIR2,2026/1/9,西オペレーション課,野上　賢治,未確認,復路KIX時間帯：指定なし,
67368244,1041453323,1,,各地発着申込,AIR2,2026/1/9,西オペレーション課,野上　賢治,未確認,往路KIX時間帯：指定なし,
67368244,1041453323,1,,送付物に関するＲＱ,発送,2026/1/13,西統括HBOS用後方,辻井　美也子,未確認,※【送付先：不要】の為、処理なし,
67368244,1041453323,1,,関連事項,LAND,2026/1/13,西オペレーション課,松本　晃拓,未確認,☆☆ダミー記録です☆☆えびｱﾚﾙｷﾞｰ甲殻類全般というよりかはエビだけとの事です。ｴｷｽ等は問題なし、基本的には避けて召し上がっていただくよう案内してますが、出来る範囲でご配慮お願い致します。2026/01/1314:35:18西オペレーション課松本　晃拓,
67368244,1041453323,1,,別問合せ番号同行ＧＲＰ有,AIR/LAND/JR,2026/1/13,西オペレーション課,松本　晃拓,未確認,☆☆ダミー記録です☆☆#67368202ﾊﾝｷｭｳタロウ様#67368305　ﾊﾝｼﾝ　ｼﾞﾛｳ様と同ｸﾞﾙｰﾌﾟ部屋割り：1TWN+1SGL#67368202ﾊﾝｷｭｳタロウ様#67368244ﾊﾝｷｭｳﾊﾅｺ様がTWN部屋割り：TWN,
67368244,1041453323,1,,その他,受付,2026/1/13,西オペレーション課,小林　誠,未確認,"（ダミー）【メールにて連絡あり】2025/11/0417:37予約金？ですが、会員メニューよりクレジットカードよりお支払いする予定ですが、まずいくらお支払いすればよいかご連絡頂けますか？よろしくお願いします【下記内容にて返信済み】お問い合わせ頂きました2名様分のお申込金につきましては、【267,920円】でございます。尚、下記手順にてマイページよりクレジットカードでお支払い頂けますので、ご確認頂けますと幸いでございます。＜クレジットカード決済手順について＞①まず、下記URLをクリックして頂き、　メールアドレスとお客様ご登録頂いたパスワードをご入力して頂ければ、　会員メニューをご確認頂くことが可能でございます。　　　https://r.hankyu-travel.com/pc/HT30702.do?command=login②「会員メニュー」より「ご予約中のツアー」をご覧いただけますので　該当するツアーの「詳細（予約内容の詳細を見る）」をクリックして頂きます。③予約詳細が出て参りますので、内容の中頃に、「ご入金状況」がございます。　そちらにある「カード決済」をクリックして頂き、　クレジットカード情報の入力をし入金のお手続きをお願いいたします。　※その際に、決済金額をお申込金か旅行代金一括かお選び頂けます。また、残金につきましては、11月28日にご請求書送付予定となっておりますので、お届けまで今しばらくお待ちくださいませ。以上ご案内となりますが、お手続きのほど宜しくお願いいたします。お問い合わせ頂き、有難うございました。2025/11/0517:59:10大阪予約センター真　ひなた⇒【ﾒｰﾙ連絡あり】2025/11/0518:02ご連絡ありがとうございます承知いたしました■上記内容よりﾒｰﾙ返信せず。2025/11/0610:33:13大阪予約センター川口　真理子",
67368244,1041453323,1,,インターネット（DS）要望,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）旅行手続書類送付希望あり(WEB),
67368244,1041453323,1,,その他,受付,2026/1/13,西オペレーション課,小林　誠,未確認,"（ダミー）【Eﾒｰﾙ】　2025/11/2518:36　taka.fks777@gmail.comお世話になります　残りの費用ですが、いつまでにお支払いすればよろしいでしょうか？ご連絡よろしくお願いします【下記返信ﾒｰﾙ】　　taka.fks777@gmail.com残金のご請求につきまして、下記ご案内申し上げます。		燃油代や海外空港諸税など諸経費が決定後、今回のご予約では【11月28日（金）】頃に、当社より残金のご請求書を発送させて頂く予定ですので、書類到着ご確認頂きましてからご入金をして頂ければ問題ございません。			その後のご案内としては、ご出発１週間前を目処に、最終日程表をご自宅へ書面にてご送付させて頂きます。尚、ご入金につきましては、マイページよりクレジットカード決済もご利用頂けますのでいずれかでお手続きくださいますようお願い致します。		【マイページ】		下記URLをクリックして頂き、		メールアドレス・パスワードをご入力して頂ければ、		マイページをご確認頂くことが可能でございます。　　		https://r.hankyu-travel.com/pc/HT30702.do?command=login		※『予約内容の詳細を見る』をクリックして頂き、		　　進んで頂くと『ご入金状況・明細』もご覧頂けますし、		　　そちらよりクレジットカード決済も可能でございます。※通常、当社より入金受領の連絡はいたしておりませんので	　　予めご了承下さいませ。				以上、何卒よろしくお願い申し上げます。お問い合わせ頂きましてありがとうございました。　　		",
67368244,1041453323,1,,コンタクト中,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）ﾏｲﾍﾟｰｼﾞで予約確認したところ当記録内容が出てこないとの問合せあり間違いなく予約済の旨ｱﾅ、再度ﾏｲﾍﾟｰｼﾞ更新しましたがP①ﾌｸｼﾏﾀｶｼ様のお名前で複数の顧客登録があるため確認された際のﾒｰﾙｱﾄﾞﾚｽが間違っていないか確認のﾚﾗしましたが不在→P①よりC/Bあり。間違いなく予約済の旨ｱﾅしたところ、「メールアドレスはyahooではなくgmailですかね、わかりました、確認します」　ということで終話。2025/10/1811:02:02大阪予約センター室谷　由実,
67368244,1041453323,1,,連絡事項,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）第1希望　12/28発　＃65535199・・・・WT　第2希望　12/25発　＃65535211・・・・WT→OK（7/1）休みの都合上、12/28発の方が都合がいいので、12/28発のWTは継続希望2025/07/01　17；28　池田TC/岡田12/28発のHK連絡しましたが、このまま12/25発で参加されるとの事でした　2025/11/12　14：08　池田TC/岡田,
67368244,1041453323,1,,その他,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）メールにてHKレラ済2025/09/0815:25:50西営業１課阿部　葵彩↓【ﾒｰﾙにて連絡あり】2025/09/0815:24ご連絡ありがとうございますキャンセルが出たのですね承知いたしましたよろしくお願いします。【下記内容にて返信済み】またお手続きの中で、ご不明点等ございましたらご遠慮なくお問い合わせくださいませ。有難うございました。2025/09/0817:36:11大阪予約センター真　ひなた⇒【ﾒｰﾙ連絡あり】2025/09/1308:34ご連絡ありがとうございますよろしくお願いします。■上記内容よりﾒｰﾙ返信していません。2025/09/1311:23:42大阪予約センター川口　真理子,
67368244,1041453323,1,,Ｃ／Ｂ待ち／確認・注意事項,受付,2026/1/13,西オペレーション課,小林　誠,未確認,（ダミー）ドバイでの乗り継ぎ時間で免税店で買い物をしたいのだが免税店の中にあるショップなどは添乗員に教えてくれるのか？乗り継ぎ時間が長い場合はドバイの観光などは楽しめるか教えて欲しい↓お客様へ電話①添乗員の挨拶電話の際にショップなど案内②今回は乗り継ぎ時間が3時間くらいのため外に出ることは難しい,
67368244,1041453323,1,,ＥＤ本人→依頼へ変更,手続,2026/1/14,西オペレーション課,野上　賢治,未確認,,
67368244,1041453323,1,,お客様情報,VIP・ｸﾚｰﾑ,2026/1/14,西オペレーション課,小林　誠,未確認,（ダミー）阪急電鉄専務取締役上田様のご親戚です。電鉄役員関連のためVS扱いで処理します。,
67368244,1041453323,1,,カウンター来店予定,受付,2026/1/14,西オペレーション課,小林　誠,未確認,（ダミー）カウンター来店1/19予定↓来店時下記の案内あり。カプリ島は楽しみにしているのだが閉所恐怖症で心配。後他の立ち寄り地で狭いところがないか心配もし入れないなどあれば待つところがあるかどうかトマトが苦手なのだが他の料理に変更ができるかどうかエミレーツ航空は初めてなのとトイレが近いためできるだけ通路側の席にして欲しい添乗員さんはどのような人か事前に判るか教えて欲しい,
67368305,1041453369,1,,各地発着申込,AIR2,2026/1/9,西オペレーション課,野上　賢治,未確認,復路KIX時間帯：指定なし,
67368305,1041453369,1,,各地発着申込,AIR2,2026/1/9,西オペレーション課,野上　賢治,未確認,往路KIX時間帯：指定なし,
67368305,1041453369,1,,ルーミング変更・人数変更,LAND,2026/1/9,西オペレーション課,野上　賢治,未確認,「TWN」→「SGL」,
67368305,1041453369,1,,送付物に関するＲＱ,発送,2026/1/13,西統括HBOS用後方,辻井　美也子,未確認,※【送付先：不要】の為、処理なし　,
67368305,1041453369,1,,関連事項,LAND,2026/1/13,西オペレーション課,松本　晃拓,未確認,☆☆ダミー☆☆エレベーター近くの部屋希望確約せず2026/01/1314:38:17西オペレーション課松本　晃拓,
67368305,1041453369,1,,その他,受付,2026/1/13,西オペレーション課,松本　晃拓,未確認,☆☆ダミー記録です☆☆PPT2026/2/13取得予定（申込書より）,
67368305,1041453369,1,,別問合せ番号同行ＧＲＰ有,AIR/LAND/JR,2026/1/13,西オペレーション課,野上　賢治,未確認,☆☆ダミー記録です☆☆#67368202ﾊﾝｷｭｳタロウ様#67368244ﾊﾝｷｭｳﾊﾅｺ様部屋割り：1TWN+1SGL#67368202ﾊﾝｷｭｳタロウ様#67368244ﾊﾝｷｭｳﾊﾅｺ様がTWN,
67368305,1041453369,1,,ＥＤ本人→依頼へ変更,手続,2026/1/14,西オペレーション課,野上　賢治,未確認,,
67368305,1041453369,1,,送付・請求先の変更,発送／請求,2026/1/14,西オペレーション課,野上　賢治,未確認,ダミー記録jです送付先を会社に変更　,
67368305,1041453369,1,,クレーム有,VIP・ｸﾚｰﾑ,2026/1/14,西オペレーション課,小林　誠,確認済,（ダミー）【顧客メモより】E043A8/12DEPTCレポートより過去のメッセージリストにおかしな方とあるがその通り人間性を疑う行動も見受けられたようで、今後参加を拒否すべきと記載あり。→ご予約時も、全然説明を聞かないお客様です。重要INFO説明するも、年に何回も海外旅行に行っているので理解してます。初心者みたいな扱いしないでと説明を拒否。コロナにつきその説明も『もういいって』と拒否。　　　1/4　小池,
67368305,1041453369,1,,お客様情報,VIP・ｸﾚｰﾑ,2026/1/14,西オペレーション課,小林　誠,確認済,（ダミー）***顧客メモより対応注意***2016/1/22DEP　E197　TC（中村有香子SSP）報告より今回ご自身で帰路ネットチェックインされ、LH係員とFCOで少しもめました。そのため、前の広い席を確保され、他のお客様よりおかしいとの声あり。******************************************************⇒1/15　髙橋TCより今回同様に復路、無断でWEBチェックイン、ＬＨ係員に注意受ける。その他問題行動あり。提販チームへレポート送付済　16：43　川辺,
67368305,1041453369,1,,その他,受付,2026/1/14,西オペレーション課,小林　誠,未確認,（ダミー）,
67421418,1041496874,1,,各地発着申込,AIR2,2026/1/14,西オペレーション課,野上　賢治,未確認,往路KIX時間帯：指定なし,
67421418,1041496874,1,,各地発着申込,AIR2,2026/1/14,西オペレーション課,野上　賢治,未確認,復路KIX時間帯：指定なし,
67421418,1041496874,1,,ルーミング変更・人数変更,LAND,2026/1/14,西オペレーション課,野上　賢治,未確認,「TWN」→「SGL」,
67421418,1041496874,1,,ルーミング変更・人数変更,LAND,2026/1/14,西オペレーション課,野上　賢治,未確認,「SGL」→「TWN」,
67421418,1041496874,1,,フルーツバスケット手配,LAND,2026/1/14,西オペレーション課,松本　晃拓,未確認,☆☆ダミー記録です☆☆「VP」フルーツバスケット手配依頼営業→LAND依頼済2026/01/1411:49:59西オペレーション課松本　晃拓,
67421418,1041496874,1,,送付物に関するＲＱ,発送,2026/1/15,西統括HBOS用後方,辻井　美也子,未確認,※【送付先：不要】の為、処理なし,
67421418,1041497019,2,,各地発着申込,AIR2,2026/1/14,西オペレーション課,野上　賢治,未確認,復路KIX時間帯：指定なし,
67421418,1041497019,2,,各地発着申込,AIR2,2026/1/14,西オペレーション課,野上　賢治,未確認,往路KIX時間帯：指定なし,
67421418,1041497019,2,,ランドオンリー,AIR/LAND,2026/1/14,西オペレーション課,松本　晃拓,未確認,☆☆ダミー記録☆☆P②ｳﾒﾀﾞﾊｼﾞﾒ様現地イタリア駐在中合流：10/2823：00頃予定（現地1日目）離団：11/4ローマ空港（現地8日目・最終日）※10/28夕食不要↓現地オペレーター承諾済み2026/01/1412:05:45西オペレーション課松本　晃拓,
